case_id,turns,voltage_v,inlet_velocity_um_s,correct_fraction,live_inner_fraction,dead_outer_fraction,live_inner_count,dead_outer_count,live_mean_final_lateral_um,dead_mean_final_lateral_um,live_wall_limited_count,dead_wall_limited_count
turns_5_voltage_12_velocity_1000um_s,5.0,12.0,1000.0,0.855,1.0,0.71,100,71,-57.29699677797475,6.8862305824679,93,0
turns_5_voltage_10_velocity_1000um_s,5.0,10.0,1000.0,0.85,0.99,0.71,99,71,-49.84165441644005,6.8854976856452605,71,0
turns_5_voltage_8_velocity_1000um_s,5.0,8.0,1000.0,0.805,0.9,0.71,90,71,-31.588778128287867,6.884898032462436,24,0
turns_3_voltage_12_velocity_1000um_s,3.0,12.0,1000.0,0.775,0.97,0.58,97,58,-43.399421870274715,2.9985840432562387,45,0
turns_3_voltage_10_velocity_1000um_s,3.0,10.0,1000.0,0.74,0.9,0.58,90,58,-28.89432252289163,2.9981810285763997,19,0
turns_5_voltage_12_velocity_3000um_s,5.0,12.0,3000.0,0.725,0.9,0.55,90,55,-27.818674825847005,1.4219208990842351,17,0
turns_5_voltage_10_velocity_3000um_s,5.0,10.0,3000.0,0.68,0.81,0.55,81,55,-18.103423473410675,1.4216605909411166,5,0
turns_3_voltage_8_velocity_1000um_s,3.0,8.0,1000.0,0.675,0.77,0.58,77,58,-16.411476403452255,2.9978512861698627,5,0
turns_5_voltage_8_velocity_3000um_s,5.0,8.0,3000.0,0.655,0.76,0.55,76,55,-10.644092139671173,1.4214476102484626,1,0
turns_3_voltage_12_velocity_3000um_s,3.0,12.0,3000.0,0.625,0.77,0.48,77,48,-14.494454837568085,0.12600141106488988,1,0
turns_3_voltage_10_velocity_3000um_s,3.0,10.0,3000.0,0.62,0.76,0.48,76,48,-9.911871475371836,0.1258624656348336,0,0
turns_3_voltage_8_velocity_3000um_s,3.0,8.0,3000.0,0.595,0.71,0.48,71,48,-6.475633396693087,0.12574878263903755,0,0
